הסרטון שוועדת הבחירות לא רצתה שתראו &gt;&gt; 
"בליכוד חייבים להחליט אם הם תנועה ברוח תורתו של ז’בוטינסקי או תנועה חרדית ברוח מועצת גדולי התורה. 
ישראל ביתנו לא תקבל שום פשרה בנושא חוק הגיוס. חוק הגיוס שיזמתי במהלך כהונתי כשר ביטחון מהווה תנאי בל יעבור להצטרפותנו לקואליציה הבאה.
 "
לכו תאמינו לסקרים... 
"חברי הליכוד, איבדתם את זה לגמרי. "
"פוליטיקאים שמבקרים את התנהלותה של הממשלה בעזה – לא חסר לנו.
פוליטיקאי שקם ואומר עד כאן – יש רק אחד. "
"הסיוט הכי גדול של מועצת חכמי התורה:
#ליברמן_גם_ימין_גם_חילוני! "
"RT @YuvalKarni: כבוד הרב שליט״א אביגדור ליברמן.
יש חוש הומור לבחור. "
"אני קורא לכל המפלגות הציוניות להצטרף אליי ולגנות בתוקף את ביצוע בדיקות ה-DNA על ידי הרבנות, בדיקות שמתקיימות באופן מפלה רק  ליוצאי חבר העמים. אין לתת מקום לתופעה כה מכוערת ומבזה בחברה הישראלית. "

"יש הצהרת אמונים ויש הצהרת מלחמה.
לישראל ביתנו יש מסר אחד לתומכי הטרור היושבים בכנסת:
#לא_תתחייבו_לא_תשבו "
"כתב האישום שהוגש נגד הרוצח המתועב של אורי אנסבכר צריך להיגמר רק בפסק דין אחד.
#עונש_מוות_למחבלים "
"הערב התקבלה העתירה של ישראל ביתנו לפסילת מועמדותו של עופר כסיף לכנסת ישראל. מי שאומר שהרמטכ""ל הוא פושע מלחמה ושמדינת ישראל מבצעת טיהור אתני ברצועת עזה, אסור שיישב בכנסת. מקומו בפרלמנט של חמאס ברצועה או בפרלמנט האיראני בטהרן. מצפה שבג""ץ לא יתערב בהחלטת ועדת הבחירות המרכזית. "
