"גפן, הבת המקסימה של הילה הדוברת שלי.  אני חייב לה המון שעות אמא. "
"RT @GabbayAvi: 7,000 ש""ח שכר מינימום. מבינים?
לביבי אין ארנק. איך יבין?
צפו (ורטווטו) "
RT @arad_eyal: כל פעם אותו הדבר - מתי הם ילמדו? 
פעם שקרן. תמיד שקרן. 
"איזו נבחרת!
הבוקר בתל אביב, בדרך לאירוע הצעירים שלנו, לדבר על הנושאים שחשובים באמת לצעירים בישראל, ועל התכניות שלנו לעשות שינוי אמיתי. 
נמשיך להילחם יחד, כל הדרך. צפו להפתעות. "
התקבלנו במטח סוכריות בשוק הכרמל. מרגישים את השינוי באוויר 
@10elilevi ברכות אלי יקר. מהפרסים המוצדקים שניתנו.  תרשה לי להוסיף שאתה לא מביא רק נושאי פריפריה אלא גם הרבה שכל ישר וענייניות. 
"7,000 ש""ח שכר מינימום. מבינים?
לביבי אין ארנק. איך יבין?
צפו (ורטווטו) "
"RT @sharonidan: אבי גבאי @GabbayAvi מגיע לכרמל, אינעל העולם באקסטרים. "
"עכשיו בשוק הכרמל, מתקבלים בממטרי סוכריות.
זה לא רק הסוכריות. זה האור בעיניים של האנשים, זה הרצון העז בשינוי, וזאת האווירה שמשהו טוב יכול לקרות כאן בעוד שבוע. באנו לתת אהבה והתקבלנו באהבה. נמשיך בכל הכוח ובכל הארץ עם הנבחרת המצוינת שלנו, עד שנביא את השינוי. "
RT @GabbayAvi: איך אני יודע שנתניהו גזען? ככה: 
גם אחרי כנס בגבעתיים - המנה הטובה ביותר ביקום 
"נתניהו ממשיך לתקוף את ריבלין. שיתבייש. 
תומכים בממלכתיות. תומכים בנשיא. "
איך אני יודע שנתניהו גזען? ככה: 
"לא דרמטי??
איבדתם את הביטחון. ב-09/04 תאבדו את העם. "
חברת חשמל מוותרת על מיליארד וחצי דולר מהכיס שלנו ובתמורה חברות הגז ימכרו גז למצרים. המשך של שוד הגז. רק אנחנו במפלגת העבודה מחוייבים להפסיק את שוד הגז. 
"נתניהו שוב נכנע לחמאס.
שתפו. "
"RT @barak_ehud: אמור לי מי הם חבריך ואומר לך מי אתה

@yoavkeren2 "
"איך יודעים שנתניהו יעשה הכל כדי לגנוב את הבחירות? 
ככה: "
"נחשפה רשת הרמאות והזיוף של ביבי. נתניהו מזהם את הבחירות. לחקור עכשיו, כדי שלא יגנבו שלטון בישראל. נתניהו יחצה כל קו אדום בכדי למנוע את העמדתו לדין. "
"הקמפיין של הליכוד נגד גנץ, נגד כל מדינת ישראל, הוא הקמפיין הכי זוועתי שהיה פה. "
"פגישת בוקר של אלופים
עם אלוף במיל' טל רוסו ואלוף במיל' נעם תיבון
@noamtibon @rousso_tal "
"איציק, מזל טוב!
אוהבים, הנבחרת
@ishmuli "
"הבוקר בטורניר שער הנגב - נחל עוז נגד אור הנר.
באנו לעודד ויצאנו מעודדים. החיים בעוטף עזה נמשכים, ואנחנו נדאג שיימשכו בביטחון. בדרום, ובכל הארץ. יש לנו תכנית שתעשה בדיוק את זה - ביטחון לדרום.
כדי ליישם אותה, צריך להחליף את השלטון ב-09/04.
שבת שקטה לכולם "
מזל טוב לאחלמה ועמיר הסבים הגאים ולאור ויפתח ההורים המאושרים של בר 
"יאיר, אתה אמיתי?
אתה, שגנבת את הקולות של המחנה שלנו ב-2013 וגונב אותם היום?
אתה מעז לומר שמי שמצביע לנו כאילו מצביע לביבי?
כחול לבן התייאשו מלנצח את נתניהו. רואים את זה בקמפיין הרכרוכי שלהם.
רק אנחנו מתחייבים לא לשבת עם נתניהו. בשום מצב! "
"גם היום במצעד האקלים, התחייבנו:
עוצרים את ההזנחה במפרץ חיפה!
מפלגת העבודה מאמצת את תוכנית רשות מקרקעי ישראל לטיהור ושיקום מפרץ חיפה, שתאפשר הוצאת המפעלים המזהמים מהמפרץ, טיהור הקרקע ומי התהום, תוך שימוש בטכנולוגיות מהמתקדמות בעולם.
@YaelCohenParan "
RT @talschneider: מפלגת העבודה הרימו שלט בחירות שהוצב רק בעיר אשקלון עם האמירה של רגב. 
בלי פילטרים. מחר. 
"מזל טוב, איציק יקר.
אנחנו נעשה הכל כדי שאת הילד הבא תוכלו ללדת בישראל. זאת התחייבות.
@ishmuli "
פרשת הצוללות עשתה לי הרגשה של דז'ה וו 
יאיא מדבר ברור.  לא ליד ולא מסביב. 
"סתיו שפיר צודקת בכל מילה.
זה או מפלגת העבודה - או ממשלת ימין.
@StavShaffir "
"בני, תודה רבה !! "
"RT @HavodaParty: ""אז מה אם הם ירו על אשקלון?!""
מירי, ביבי, איבדתם את זה.
איבדתם את הבטחון, וב-09/04 תאבדו את העם. "
"RT @KeidarKesten: חבל שבישראל אי אפשר להגיד its the economy stupid. מפלגת העבודה היחידה שמדברת על אידיאולוגיה, דרך, כלכלה, והאזרח. "
"40,000 עסקים קטנים נסגרים בכל שנה. וביבי? חושב שהוא שטרסלר "
"תודה לך, @Ron_Huldai. 
חוזרים לדרך. חוזרים לעבודה. "
"נתניהו, אל תהיה חמוץ. המשמרת שלך עוד מעט מסתיימת. "
"נתניהו וה""טעויות"" "
"מפלגת העבודה היא הבית של החקלאים וזה לא ישתנה לעולם. 
לכן דווקא היום, חשוב לומר: לא יהיו חילופי שלטון ולא יהיה מי שישמור על החקלאות בלי מפלגת העבודה חזקה.
אנחנו מחויבים לחקלאות. וגם בממשלה הבאה נדרוש ונעמוד על כך שתיק החקלאות יחזור למפלגת העבודה.
הבוקר בכנס ""בוחרים חקלאות"" "
"כנס שהוכיח שאנחנו הבית של כל הישראלים.  יהודים, ערבים, דרוזים, צ׳רקסים. חרדים וחילונים, בני קיבוצים ועיר. אין כמו הצפון. 
@Syechimovich @leafadida "
"RT @Syechimovich: באנו למפגש בצפון ב״גלילון״ המהמם, ומתברר שמי שבאו החליטו שזה כנס ענק. נאלצנו לעבור אולם כדי להכיל כולם. מדהים. "
"ההתלהמויות של נתניהו ובנט עוד לא עצרו שום טיל. לנו יש תכנית שתעשה את זה - תחזיר את הבטחון לדרום, ואת התקווה לאזרחים, כדי שהילדים שלנו יוכלו לישון בשקט.
הבוקר במושב משמרת, עם טל רוסו ועמר בר לב
 @rousso_tal @omerbarlev "
"בשיחה עם @netalishemtov במכללת תל חי. דיברנו לא רק על ביטחון, אלא גם על העתיד,  ועל התכניות שלנו - החזרת היוזמה, חיזוק הצעירים והקמת אוניברסיטה בגליל ועל תכנית הבריאות שלנו.  בשביל זה צריך להחליף שלטון, כי הממשלה הנוכחית לא מגיעה לגליל. "
"את הביטחון מחזירים במעשים, לא בנאומים ולא בססמאות. לנרמל את עזה, ולהכות חזק כשצריך. בדיוק הפוך ממה שנתניהו עושה היום. 
זאת התכנית שלנו - ביטחון לדרום:
"
"נתניהו אחראי למצב הביטחון הירוד. הוא איבד את ההרתעה וחיזק את החמאס. ראש ממשלה של דיבורים ולא של מעשים. ראש ממשלה ושר ביטחון כושל.

נתניהו החזיר את הביטחון בישובי העוטף וכעת במרכז לתחילת שנות החמישים. הגיע הזמן שנתמודד עם חמאס באומץ ולא בפחדנות של נתניהו.
@omerbarlev, @rousso_tal "
מחר: מי מתחרה על התפקיד של שטרסלר? 
"אל תתנו לספינים לבלבל אתכם:
רק נבחרת העבודה היא מפלגה עם דרך, עם תכניות, ועם נבחרת מעולה, שתוביל לשינוי אמיתי ולהחלפת השלטון.
חוזרים לדרך. חוזרים לעבודה. "
נתניהו. הפעם זה אתה ואנחנו כבר לא מפחדים לאמר את זה. 
"בכל מערכת בחירות נתניהו מחפש את הגזען התורן, לרכב עליו כדי ללבות פילוג והסתה.
הפעם הוא מצא את עצמו. הוא הגזען. "
חושבים להצביע כחול לבן כדי להעיף את ביבי? כדאי שתראו את זה: 
"מי שאין לו אומץ להילחם בטייקוני הגז, עדיף שלא יציג תכנית כלכלית. "
"RT @newsisrael13: יו""ר העבודה, @GabbayAvi, הגיע לעדלידע בחולון ונתקל בצעיר שהתחפש לחבר המפלגה @amirperetz 

(צילום: רענן כהן) "
"אורנה פרץ מקריית שמונה משעממת אותו.
ככה נראה פוליטיקאי גזען ומתנשא "
"נתניהו תמיד היה גזען והגיע הזמן לומר את זה ולא לפחד.
"
"לא כל יום פורים. מצד שני, לא כל יום אני זוכה לג'ינגל בביצוע להקת ""קינדערלך""...
(מתוך ""המתנחל"" עם חנוך דאום, שהוא בעצמו ליצן לא קטן) "
"בכל פעם שנתניהו מדבר על הטלפון של גנץ, תשאלו מה הוא מנסה להסתיר: "
נתניהו מוציא את המזרחים מהתמונה 
RT @HaimJelin: איילת @Ayelet__Shaked זה הבושם שכל הישראלים אוהבים 
